value;VZH_2;VZH_2_%;VZH_9;VZH_9_%;VZH_pers_9;VZH_pers_9_%
1.00;739.00;2.84;2030.00;5.13;39.00;0.15
2.00;17.00;0.07;672.00;1.70;669.00;2.57
3.00;3327.00;12.79;6167.00;15.59;276.00;1.06
4.00;3594.00;13.81;18484.00;46.72;17774.00;68.37
5.00;18344.00;70.50;12212.00;30.87;7238.00;27.84
-;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;
Diff_2-9;Diff_9-pers;value;;;;
-2.29;4.98;1.00;;;;
-1.63;-0.88;2.00;;;;
-2.80;14.53;3.00;;;;
-32.91;-21.65;4.00;;;;
39.63;3.02;5.00;;;;
0.00;0.00;-;;;;
