value;Rhith_Tanno_2;Rhith_Tanno_9;Rhith_Tanno_pers;Rhith_habby_2;Rhith_habby_9;Rhith_habby_pers;Baetis_2;Baetis_9;Baetis_pers
0;12610;33535;24476;13162;12952;1100;1360;11042;7450
0.1;7955;4418;1148;8213;4487;3336;3245;11543;8158
0.2;5510;1692;451;2382;5912;5577;2075;3480;2062
0.3;NA;NA;NA;1228;6992;6861;1484;2257;1670
0.4;NA;NA;NA;701;3875;3805;1899;2007;1406
0.5;NA;NA;NA;227;2483;2461;2789;2321;1524
0.6;NA;NA;NA;66;1231;1227;3029;1812;1207
0.7;NA;NA;NA;34;817;812;3518;2003;1175
0.8;NA;NA;NA;49;611;611;3570;1693;843
0.9;NA;NA;NA;13;255;255;2739;1239;491
1;NA;NA;NA;NA;30;30;367;248;89
;;;;;;;;;
value;Rhith_2;Rhith_2_%;Rhith_9;Rhith_9_%;Rhith_pers;Rith_pers_%;;Diff_2-9;Diff_9-pers
< 0.5;26075;100;39645;100;26075;100;;0;0
> 0.5 ;0;0;0;0;0;0;;0;0
;Rhith_habby_2;Rhith_habby_2_%;Rhith_habby_9;Rhith_habby_9_%;Rhith_habby_pers;Rhith_habby_pers_%;;Diff_2-9;Diff_9-pers
< 0.5;25913.00;99.38;36701.00;92.57;23140.00;88.74;;6.80;3.83
> 0.5 ;162.00;0.62;2944.00;7.43;2935.00;11.26;;-6.80;-3.83
;Baetis_2;Baetis_2_%;Baetis_9;Baetis_9_%;Baetis_pers;Baetis_pers_%;;Diff_2-9;Diff_9-pers
< 0.5;12852.00;49.29;32650.00;82.36;22270.00;85.41;;-33.07;-3.05
> 0.5 ;13223.00;50.71;6995.00;17.64;3805.00;14.59;;33.07;3.05
;;;;;;;;;
